TIME1,seq,totaltrips,avgdistance,avgfare,avgtriptime,weekday
2016-01-06T09:00:00Z,130,215,1.41655813953488,9.39893023255814,589.953488372093,Wednesday
2016-01-06T10:00:00Z,131,143,1.18181818181818,8.87867132867133,533.286713286713,Wednesday
2016-01-06T11:00:00Z,132,98,1.52469387755102,9.33122448979592,492.857142857143,Wednesday
2016-01-06T12:00:00Z,133,102,1.45294117647059,9.9406862745098,516.470588235294,Wednesday
2016-01-06T13:00:00Z,134,120,1.6885,12.0404166666667,594,Wednesday
2016-01-06T14:00:00Z,135,104,1.26932692307692,11.6521153846154,582.692307692308,Wednesday
2016-01-06T15:00:00Z,136,85,2.21517647058824,13.1171764705882,667.058823529412,Wednesday
2016-01-06T16:00:00Z,137,123,2.74821138211382,14.0267479674797,692.682926829268,Wednesday
2016-01-06T17:00:00Z,138,136,1.94558823529412,11.7174264705882,693.529411764706,Wednesday
2016-01-06T18:00:00Z,139,149,1.7141610738255,11.5605369127517,717.58389261745,Wednesday
2016-01-06T19:00:00Z,140,127,1.60850393700787,10.8066141732283,639.212598425197,Wednesday
2016-01-06T20:00:00Z,141,79,9.59556962025316,12.2593670886076,633.417721518987,Wednesday
2016-01-06T21:00:00Z,142,93,2.47075268817204,14.675376344086,756.129032258065,Wednesday
2016-01-06T22:00:00Z,143,125,2.7424,14.44104,729.12,Wednesday
2016-01-06T23:00:00Z,144,68,1.87794117647059,13.1183823529412,678.529411764706,Wednesday
2016-01-07T00:00:00Z,145,25,1.828,11.842,477.6,Thursday
2016-01-07T01:00:00Z,146,18,3.66111111111111,16.9666666666667,560,Thursday
2016-01-07T02:00:00Z,147,5,1.76,12.15,900,Thursday
2016-01-07T03:00:00Z,148,4,3.2,14.05,600,Thursday
2016-01-07T04:00:00Z,149,5,1.8,15.25,552,Thursday
2016-01-07T05:00:00Z,150,0,,,,Thursday
2016-01-07T06:00:00Z,151,37,1.42108108108108,9.46567567567568,405.405405405405,Thursday
2016-01-07T07:00:00Z,152,93,1.57655913978495,9.65645161290323,462.58064516129,Thursday
2016-01-07T08:00:00Z,153,202,1.07579207920792,9.02118811881188,547.425742574258,Thursday
2016-01-07T09:00:00Z,154,222,1.02972972972973,8.79261261261261,561.351351351351,Thursday
